user_id,subscription,first_name,last_name
user_6b7c5eb8-530c-4176-b438-6bce401b476b,monthly,Anne,Bowers
user_f10048b1-22b6-4946-9c64-ee72861f81a0,monthly,Nathan,Love
user_4507d621-9cf5-4b66-91df-970ae966ce6d,monthly,Tracy,Banks
user_6f33f39e-7659-4673-bd80-ca11394424b0,yearly,Aaron,Carson
user_fd0b54b6-0aa5-4cb0-8eec-502dc2c5307e,monthly,Christine,Nunez
user_3f05cd62-2de4-48e4-848b-09a680b6337a,free,Michelle,Drake
user_8b404e7f-a42f-40f2-9422-69225efbabf9,free,David,Ramirez
user_f6cb31b3-48fa-4cd1-a483-7a59189af5d1,yearly,Jonathan,Evans
user_482a8ed6-d5d3-4d7d-a617-19a5a59c2ab5,monthly,Kristine,Brown
user_ef41dd17-6885-4103-a9d1-038645ef0a7a,monthly,Emily,Peterson
user_2913a0bf-a8c0-401e-9b73-aa7c2544888a,monthly,Nicole,Mcgee
user_3fbded9d-d59a-435c-863f-55f0b086f01e,free,Jason,Swanson
user_9ebe7a86-09cf-406d-9ba2-20a751d16f03,yearly,Kristen,Smith
user_fd5f9010-b064-46bd-b770-8ab5edcc59d8,yearly,Rachel,Schmidt
user_d390582a-b07d-43cc-ae2f-a1bebae4bd9d,yearly,Joseph,Gross
user_2909393f-2d44-4442-a632-80ff5a69d6d9,free,Zoe,Richards
user_d56cafca-9e34-4bf5-be9d-a2c357ffb0d5,monthly,Brian,Morrison
user_10dfa3b6-52b6-43a9-835a-ad110ad50ff2,monthly,Sergio,Hays
user_7f825e94-d6a6-4266-b929-e27f83c202b0,free,Jason,Obrien
user_0ff9f9d8-a907-407b-a71a-e02028e4040d,monthly,Regina,Ballard
user_262fa3ae-4706-432c-b54f-600abb327fb9,yearly,Shannon,Johnson
user_81b9d067-7877-43cf-9793-6fb5ea6f4921,yearly,Richard,Sanders
user_be70d0e1-070d-49e6-9d38-bc3b50036361,monthly,Lynn,Mullins
